diagcode,ccs,ccs43_text,label,ccs_label
009,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
010,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
011,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
012,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
013,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
014,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
015,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
016,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
017,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
018,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
019,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
020,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
021,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
022,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
023,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
024,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
025,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
026,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
027,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
028,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
029,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
030,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
031,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
032,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
033,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
034,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
035,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
036,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
037,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
038,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
039,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
040,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
041,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
042,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
043,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
044,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
045,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
046,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
047,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
048,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
049,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
050,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
051,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
052,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
053,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
054,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
055,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
056,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
057,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
058,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
059,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
060,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
061,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
062,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
063,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
064,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
065,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
066,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
067,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
068,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
069,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
080,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
081,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
082,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
083,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
084,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
085,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
086,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
087,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
088,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
089,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
090,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
091,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
092,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
093,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
094,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
095,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
096,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
097,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
098,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
099,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
100,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
101,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
102,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
103,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
104,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
105,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
106,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
107,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
108,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
109,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
110,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
111,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
112,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
113,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
114,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
115,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
116,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
117,3,allergies and poisoning,14,"allergic reactions, rehabilitation care; fitting of prostheses; and adjustment of devices, administrative/social admission, medical examination/evaluation, other aftercare, other screening for suspected conditions (not mental disorders or infectious disease), residual codes; unclassified, e codes: all (external causes of injury and poisoning)"
